ID                    RA(J2000)       Dec(J2000)  r_aper(1") z_spec    z_err         zq
J232828.4-000016.1    352.11828232    -0.00447190 16.23     -0.000634  0.000007      4
J232809.3+000638.4    352.03888893     0.11065750 17.75     -0.001040  0.000017      4
J232859.4+001523.0    352.24760056     0.25637530 16.97     -0.000273  0.000011      4
J232944.9+001921.6    352.43702888     0.32267220 16.44     -0.000089  0.000010      4
J233011.3+002623.4    352.54703522     0.43983110 16.50      0.000218  0.000007      4
J233046.9+003556.3    352.69552231     0.59897280 16.36     -0.000190  0.000005      4
J233031.3+003418.3    352.63026237     0.57174410 16.04     -0.000530  0.000011      4
J232906.0-001056.1    352.27480888    -0.18225810 17.27     -0.000076  0.000013      4
J233037.6+000251.8    352.65666962     0.04771670 16.36     -0.000056  0.000009      4
J232955.6+001959.5    352.48166084     0.33320670 16.31     -0.000497  0.000008      4
J232941.2+002007.6    352.42166519     0.33545360 16.60     -0.000452  0.000010      4
J232956.7+003909.2    352.48641014     0.65256750 17.04     -0.000223  0.000009      4
J233031.3+003418.1    352.63026237     0.57170360 16.04     -0.000454  0.000009      4
J233037.6+000251.8    352.65669823     0.04773360 16.38     -0.000096  0.000008      4
J233013.0+000334.0    352.55415916     0.05945360 16.89     -0.000346  0.000007      4
J232959.2-001402.1    352.49665260    -0.23391670 17.17     -0.000817  0.000015      4
J232900.2-000140.4    352.25063324    -0.02787810 17.68     -0.000863  0.000013      4
J232916.5+002820.6    352.31892586     0.47239780 17.26     -0.000338  0.000005      4
J233106.3+001305.7    352.77611732     0.21825220 17.62     -0.000860  0.000011      4
J233151.0-000344.3    352.96245575    -0.06230860 16.08     -0.000224  0.000004      4
J232905.9-001056.5    352.27478027    -0.18235530 17.25     -0.000081  0.000015      4
J232828.4-000016.4    352.11828232    -0.00455280 16.26     -0.000592  0.000012      4
J233027.4-001604.3    352.61429787    -0.26786780 16.59     -0.000628  0.000007      4
J233013.0+000333.7    352.55413055     0.05936640 16.89     -0.000303  0.000006      4
J232943.5-000235.5    352.43107796    -0.04318890 16.73      0.000058  0.000008      4
J232900.1-000140.7    352.25060463    -0.02796500 17.68     -0.004099  0.001118      4
J232809.3+000638.1    352.03886032     0.11057060 17.75     -0.001060  0.000021      4
J232859.4+001522.5    352.24757195     0.25626170 16.96     -0.000102  0.000008      4
J233057.1+003629.2    352.73812294     0.60811310 16.23     -0.000398  0.000008      4
J233106.3+001305.4    352.77608871     0.21816530 17.62     -0.000725  0.000015      4
J232949.7+000731.0    352.45702744     0.12527140 16.30     -0.000154  0.000004      4
J233011.3+002623.1    352.54700661     0.43974420 16.52      0.000139  0.000005      4
J232956.7+003908.8    352.48635292     0.65244780 17.04     -0.000236  0.000008      4
J233011.2+001538.4    352.54654884     0.26066890 17.44     -0.000243  0.000007      4
J232755.6-000346.5    351.98178291    -0.06292250 17.58     -0.000815  0.000014      4
J232815.1+002403.8    352.06283569     0.40104940 17.49     -0.000085  0.000013      4
J232941.2+002007.3    352.42163658     0.33536720 16.60     -0.000301  0.000010      4
J233151.0-000344.6    352.96242714    -0.06239560 16.08     -0.000176  0.000003      4
